Review,prediction
"I had no intention of day drinking on Saturday, March 10. ""The Erin Express is stupid,"" I told Zack H and friends. We're not in college anymore. And it's not even St. Patrick's Day. By 4:30pm, I was in University City and my caloric consumption for the day had added up to 1 piece of toast, 2 egg whites and 4 Coors Lights. I was getting a little lightheaded watching the Drexel dance team grind up on each other at the Blockley and I needed to eat. To Bobby's Burger Palace we went. It's hard to find a turkey burger (or black bean burger, for that matter) that isn't ""southwestern"" themed. You can keep your chipotle mayo and your mango salsa, thanks. I was overjoyed that I could pick from nearly a dozen different themed burgers and ANY of them could be made with ground turkey (or chicken!). Not sure why there isn't a veggie burger option. Bobby, get on it. I chose the L.A. Burger, which came topped with watercress, avocado, cheddar cheese and tomato. Can you say perfection? Juicy, flavorful meat with a great patty:bun ratio. The bun held onto the toppings with strength and diligence. The sweet potato fries were pretty good, but I think I'd choose regular next time (even though they are the same price). The ordering system was easy. Order your burger up front and they bring it to you. I had a grand time imagining an angry Bobby Flay (https://twitter.com/#!/aÉ) in the kitchen while I waited for my meal. Not sure why people are complaining about prices. Two burgers, an order of fries and two beers came to $25. 
We came, we ate, we conquered. Then we moved to the next bar.",1
"BBP is very hit or miss. Sometimes I will walk in, and get a great burger (my burger of choice is the Santa Fe-try it with the jalapeno sauce on the table) and fries...other times, there's a large line, my burger is either rare or overdone, and my friend and I can barely get a table. The main benefit to me is that they're open relatively late and in a central location for meeting up with friends or going to class-NOT the food itself, unfortunately. The shakes are not good here-I've had them two different times and they were one step above being straight milk and expensive. Regular fries are also not good-the sweet potato are fine if you have a craving but I wouldn't go out of my way.",1
"Disclaimer: I'm reviewing Bobby's Burger Palace as a vegetarian. I came to this BBP late on a Sunday night with some friends on a whim. I used to be a big follower of Food Network, so I was excited to try a Bobby Flay restaurant, though I knew my options were limited as a vegetarian. The interior is really cool--a bright, colorful interior, striped bar-like tables, and nice shots of burger food paintings on the walls. The line was short, and it wasn't too crowded since it was a Sunday night, so we only waited about 5 minutes to order. I got a Griddled Cheese--which is basically a bunch of different cheeses and tomato between white bread--and Sweet Potato Fries, which came with Honey Mustard Horseradish Sauce. My friend who was eating ordered a Palace Classic Burger. We sat at our table, and the food came out about 15 minutes later. I was very underwhelmed by the cheese sandwich I really could have made at home, yet paid almost $6 for. It was boring, bland, and randomly oily. The sweet potato fries were a bit better, but not outstanding by any means, and the honey mustard/horseradish sauce was watery and sad. The only thing I really liked food-wise were the variety of sauces at the table, ranging from Chipotle Ketchup to Jalapeno Sauce to Burger Sauce, which were all actually really interesting and made the food substantially more tolerable. Maybe the cool burgers are better, but my friend said he was just content with the one he got--he said we might as well have just gone to the nearby McDonald's to get a burger instead of wasting money here. Overall, at least from my experience, don't go to BBP if you're a vegetarian unless you feel like blowing a ridiculous amount of money on a basic cheese sandwich. Hopefully the celebrity chef restaurants I go to in the future are more up to standards.",1
"Solid burger joint on Penn's campus. The burgers are a bit more gourmet and come with a higher price tag than McDonald's down the block. I've been to another BBP around my hometown, and I'll have to say that compared to my local BBP, this BBP in Philly is really a hit or miss. Service is on par, but the food is sometimes overcooked, which makes it inconsistent. Food wise, I recommend the LA Burger or the Miami Burger and make sure you crunchify it. They'll add potato chips into your burger. Since burgers don't come with fries, then you can take out the potato chips later and they'll serve as your unhealthy side of oil-infused potato. If you really want fries, sweet potato is the way to go. However, as I mentioned, this place is inconsistent, so sometimes you'll have perfectly done sweet potato fries and sometimes they'll be fried to a crisp--and not in a pleasant way. Drink wise, I think the milkshakes are quite good but definitely overpriced. The spiked milkshakes are also quite delightful with my personal favorite being the Mocha Kahlua Vodka.",1
"In my experience, the food here is decent.  Truly, it's adequate.  I've never had anything that rocked my world, but I will say that this month's burger (a nacho burger of some sort) was good.  The fries aren't that special, but they're certainly better than McDonald's down the block (obviously). However, last night I was there with a group of about 8 other people during the Saturday dinner rush (7:15 PM).  Milkshakes were ordered and delivered in a reasonable timeframe as expected, and we began waiting on our food.  Since we ordered our burgers to go, we stood in the middle of the restaurant and watched others who had arrived later than us getting served.  The second time we asked where our food was (a little before 8 PM), someone apologetically informed us that they had forgotten about our order because they were busy.  To their credit, they said they had then placed our orders at the very front of the line to get us taken care of ASAP.  One member of our party got free fries she hadn't ordered, but otherwise there was no real attempt to compensate us for our wait. I'll admit that last night's incident was likely an aberration and not the norm, but still.  The food and the prices are better at Copabanana at 40th and Spruce, and that's why I won't be coming back to BBP by choice.",1
"-The people who work here are friendly and have good customer service skills. Burgers come out quick, even when it is busy. They do a good job following your cooking specifications. Margaritas are WEAK. Don't order one. Dallas Burger: Eh, I was hoping to get wow'd on this one, which didn't happen. They must have given me a regular burger, cause mine definitely was not ""spice crusted."" What was even worse was the sad, soggy coleslaw that sat atop the beef. Wilting crapiness and all, it looked and tasted like it was sitting in a pre-prepped bin for the past week before making it to my burger. Miami Burger: Ah, like the one, very rare occasion on which Bobby Flay succeeds and does not exhibit a lackluster performance on Throwdown, this burger was a winner. I'm a big fan of anything Cuban, especially women and sandwiches. The ham, swiss, and pickles were portioned out well, the burger was cooked perfectly - definitely the best selection at BBB. Palace Classic Burger: Classically average. Not much else to say about this one. Sweet Potato Fries: These are worth ordering. They are cooked just right, crunchy, not greasy but also not dry, and the honey mustard horseradish sauce is a nice change from the usual ketchup.",1
"I like this place. The thing is, don't let the celebrity chef thing lure you in. This is what to expect: a burger that's better than your average fast food burger, but not a high end restaurant burger. It's right in the middle. It's also perfectly situated in the heart of University City. Honestly, it's a really good place for a student to grub. - The Dallas Burger - This is what I end up getting most of the time. I fall for the BBQ sauce and the spice crusted patty. The thing is, it can easily be overseasoned, and even when I ask for less salt, I'm usually really thirsty by the end of the meal. - The LA Burger - The avocado in it makes the burger. It's a little cleaner and will leave you feeling a little better than the Dallas Burger. I usually also shell out for the french fries. I like that on the tables there's a little rack of different sauces to use with the burgers and fries. I personally like the green one. A decent place for a fairly quick bite.",1
I just had lunch at Bobby's Burger Palace and wow I have to say that I am highly impressed. While I expected overpriced oddities I found some of the most delicious burgers I have ever tasted at a great proce. The meat is seriously moist and juicy and the other ingredients used are fresh and delicious. It takes burgers to the next lever. The atmosphere is great and the service staff were awesome and fun to talk to. If you are looking for a great burger in a relaxing atmosphere then this place is a definite must!,0
had the Buffalo Style; it was just about what you'd expect from a quality burger place. The prices were decent for what you received. Definitely stop by next time you're in University City!,0
"I've gone to Bobby's Burger Place quite a few times, and I have nothing but positive experiences with them. Service is great, the food is great, and the atmosphere is great. The locations are very convenient for me and they even have online ordering now! Hop online, set the time, set the location, place your order and boom! Food is ready when you get there! What more could you really ask for? All at pretty great prices, at that. To be to the point though, here's the breakdown: /  / 1) The food itself is great. I've never had any problems, and I'm sure any issues would be handled well by the staff and cooks. / 2) The locations are always clean. Nothing dirty, nothing gross. Always spotless and that's a huge plus. / 3) Prices are fair and definitely worth it. Not too much, not too little where you'd question the quality. Just right. /  / I strongly recommend coming to Bobby's; it'll be worth your time!",0
"I recently went to Bobby's Burger Palace.  I had heard pretty good things, so I went in with pretty high expectations.  I ordered the classic palace burger, as I wanted to try the original, with a side of sweet potato fries and some lemonade.  The staff was unfriendly right off the bat and seemed to be trying to rush us through the line even though we were the only people in line, and looked annoyed when I asked for extra onions on my burger.  It took around 15 minutes for them to bring our food.  My burger was falling apart before I picked it off the plate and was completely bland and unseasoned.  My sweet potato fries were mushy and stringy.  All of this and it still costs 13 dollars for a basic meal.  I can definitely say I will not be returning and warn anyone else from trying this place.",0
"I want a crunchburger from Bobby's right now! I am so lucky this place is right around the corner from my apartment. When I go I usually get sweet potato fries and onion rings with my burger because I can never decide. They have amazing spiked milk shakes; vanilla caramel bourbon is my favorite. When I go with friends we take advantage of their awesome beer selection which would please most people. Now back to the burgers, the crunchburger is great but the Napa valley and LA burgers are a must try to. Basically you will be very full when you leave no matter what you choose.",0
"We wont be returning to Bobby's Burger Palace anytime in the future. Everything that could have possibly went wrong, went wrong. When we got to Bobby's Burger Palace we were  greeted by a rude service person who seated us. Then our waitress was  non existent. She came to the table to take our order and never asks us about a beverage or an appetizer. We had to wait until the food was done in order to get something to drink. My burger was fine but my girlfriend's burger was pretty much mooing. She asked for well done and the burger was red all inside. ",0
